instance,mltd,ttr,readability,unique_words,avg sentence len,avg word len
1_2,30.809688581314887,0.8,57.95,24,30,4.5
1_1,23.438085509486015,0.6818181818181818,79.26,30,8,4.5
1_3,35.071243523316056,0.5733333333333334,86.3,43,10,3.9
1_1,157.36861900949265,0.6811023622047244,81.73,173,14,4.2
1_2,91.0860655737705,0.6733333333333333,69.31,101,18,4.1
1_4,72.45727758073804,0.6640625,45.05,85,42,4.3
1_1,55.5,0.7027027027027027,52.7,52,18,4.8
1_5,34.0,1.0,96.52,34,17,4.0
1_1,36.000000000000014,0.7666666666666667,90.09,23,15,4.0
1_5,50.54000000000001,0.8947368421052632,95.67,17,9,4.3
1_1,40.82399999999999,0.8148148148148148,89.95,22,6,4.4
1_6,44.90181818181819,0.7380952380952381,77.74,31,10,4.1
1_7,47.71655634286307,0.5542857142857143,61.33,97,35,3.8
1_1,51.77200000000001,0.7674418604651163,75.03,33,21,4.3
1_7,50.4046151257419,0.6582278481012658,70.16,52,26,4.1
1_6,53.94666666666666,0.8235294117647058,79.6,28,17,3.9
1_7,45.01262063845583,0.5664335664335665,68.98,81,35,3.8
1_8,39.61589655172414,0.7560975609756098,62.69,31,41,4.0
1_8,63.08105135028882,0.6170212765957447,81.46,87,23,3.9
1_9,75.21192052980132,0.6951219512195121,76.05,57,20,4.2
1_8,60.984000000000016,0.8484848484848485,54.9,28,33,4.3
1_7,59.185426829268295,0.7777777777777778,32.91,49,63,4.2
1_1,53.760000000000005,0.875,59.3,21,12,4.8
1_6,27.75635593220339,0.7272727272727273,46.44,24,33,4.5
1_7,63.7826494938017,0.59375,78.79,95,17,4.0
1_1,63.00000000000002,0.8,90.09,36,15,4.0
1_10,35.4046052631579,0.7021276595744681,47.12,33,47,4.4
1_10,56.34757954671671,0.5612244897959183,68.44,110,28,3.9
1_10,67.02320359281437,0.6158940397350994,37.34,93,50,4.5
1_1,33.16192244224423,0.7714285714285715,70.63,27,17,4.3
1_5,95.83,0.7837837837837838,59.3,58,37,4.2
1_10,33.85511756569848,0.704225352112676,82.44,50,14,4.1
1_5,91.66636363636363,0.7471264367816092,87.65,65,17,3.8
1_9,42.08055723803756,0.74,71.99,37,25,4.0
1_10,56.2001211631664,0.5132075471698113,50.74,136,37,4.2
1_1,25.537634408602152,0.6447368421052632,40.35,49,38,4.4
1_5,61.450561074319346,0.6621621621621622,30.21,49,74,3.8
1_11,44.059623130034524,0.6376811594202898,18.36,88,69,4.3
1_12,70.75000755892181,0.5949367088607594,73.92,94,22,4.0
1_12,31.230355665839536,0.5545454545454546,77.4,61,27,3.6
