Podcast_id,Episode_Name,Speaker_id,Text_Sample
1,Activists Stoke Corporate Backlash To Voting Restrictions,1,"As you can guess from the places we're talking to people from, this is a podcast about voting rights measures and the boycotts and counterboycotts and broader cultural argument that they have kicked off. We talked last week about new restrictive voting measures that passed in Georgia that are under consideration as well in Texas."
1,Activists Stoke Corporate Backlash To Voting Restrictions,1,"This storyline has now ballooned into something else. It's a story about corporations weighing in on politics and a lot of Republicans getting very angry that they are doing so. Domenico, I'm really dwelling on the fact that you have a situation where Republicans are blasting Coca-Cola and baseball, which is, like, a real cultural plot twist. But we will talk about that in a moment."
1,Activists Stoke Corporate Backlash To Voting Restrictions,1,"Yeah. And, Ashley, no new law has been signed yet in Texas, but similar changes are being debated by lawmakers. What are the broad characteristics of the bill at question in Texas?"
1,Activists Stoke Corporate Backlash To Voting Restrictions,3,"Well, similar in that these bills are aimed at addressing voter fraud, which there's no evidence that there's any widespread problem with, you know, voter fraud in Texas. And the bills that are being considered do things like not allow local election officials to just send people applications without them asking for them first, which, you know, only a couple of major counties did - have ever done that. So in terms of effect, this isn't very sweeping. But the bills do do things like expand what poll watchers can observe."
1,Activists Stoke Corporate Backlash To Voting Restrictions,3,"And then they also create, like, new rules for people who assist voters with disabilities. And more importantly, they create a slew of new criminal penalties for - related to voting, so that's something that voting rights advocates are watching closely. But, you know, it is a little different in that Texas is starting from a place of just having way stricter voting laws already."
1,Activists Stoke Corporate Backlash To Voting Restrictions,1,"Right. And one point that Georgia Republicans have made is even though these changes were put in place, Georgia still has a lot more early voting than a lot of states. But, Domenico, this really got charged up to the next level when Major League Baseball decided to move the All-Star Game out of Atlanta, which was shocking in a few reasons to me, mostly because Major League Baseball is a sport that tries very hard to not step in the middle of political controversies."
1,Activists Stoke Corporate Backlash To Voting Restrictions,2,"Yeah, it tries to be America's pastime - right? - and tries not to do a lot of that. But, you know, Major League Baseball moved the All-Star Game as a political statement to Colorado. And Colorado is a place with much more flexible voting laws in place. It has one of the highest participation rates in the country because of an - almost all vote by mail, lots of drop-off locations, you know, and just far more accessible, even though Republicans have tried to muddy the water and say that it's very similar to Georgia's laws, which is not exactly true."
1,Activists Stoke Corporate Backlash To Voting Restrictions,1,"Emil, how has this been playing out in Georgia? - because you've got baseball. You've got, you know, companies like Delta and Coke weighing in and on one hand, being criticized for waiting until after the bill was signed into law and on the other hand, being criticized for saying something at all. Like, how is this affecting the actual politics in the state?"
1,Activists Stoke Corporate Backlash To Voting Restrictions,2,"Well, you know, this is an interesting moment, especially for the Republican Party, because there's been such an emphasis in the Trump era, which I think we're still in because so many Trump supporters are really the base of the Republican Party now - that we're seeing this tension between cultural conservatism and the more traditional, you know, pro-business, pro-corporation conservatism. And, you know, there used to be a time when big corporations and the Republican Party were sort of synonymous."
1,Activists Stoke Corporate Backlash To Voting Restrictions,2,"And, Ashley, you mentioned Black Voters Matter expanding into Texas, and that's kind of the model that Stacey Abrams used with her group Fair Fight. She has expanded and - from the 2020 election expanded her group outreach into several different states. And we can kind of see that - that going from Georgia to these other states where voting rights are at stake."
