instance,mltd,ttr,readability,unique_words,avg sentence len,avg word len
1_1,73.17333333333333,0.7857142857142857,60.48,44,28,4.9
1_1,107.89333333333332,0.8235294117647058,63.19,56,17,4.5
1_1,71.68,0.875,72.16,28,16,4.5
1_3,110.07818181818183,0.7634408602150538,65.56,71,23,4.5
1_3,91.00000000000003,0.8,58.32,52,21,4.7
1_1,106.47368421052634,0.7764705882352941,45.26,66,42,4.4
1_2,102.0,0.7058823529411765,63.22,72,25,4.2
1_1,65.0,0.7076923076923077,58.62,46,21,4.4
1_2,83.0,0.6987951807228916,30.88,58,41,4.9
1_2,71.75466666666667,0.7580645161290323,67.38,47,20,4.7
1_3,78.15853658536585,0.7011494252873564,4.15,61,87,4.4
1_2,50.54000000000001,0.7894736842105263,78.59,30,19,4.1
1_1,82.79384615384615,0.7903225806451613,78.04,49,10,4.6
1_3,82.93262411347519,0.7068965517241379,58.96,82,29,4.7
1_3,119.00000000000003,0.8,50.16,68,21,4.9
1_4,76.88000000000001,0.7741935483870968,72.66,48,15,4.3
1_4,49.0,0.6938775510204082,64.04,34,24,4.1
1_5,89.69333333333331,0.8064516129032258,67.79,50,20,4.2
1_4,47.534206730769235,0.7450980392156863,75.4,38,12,4.2
1_6,87.48,0.7407407407407407,69.89,60,10,4.5
1_4,36.409240924092416,0.625,66.78,40,21,4.7
1_5,49.0,0.6020408163265306,72.16,59,16,4.7
1_7,90.72000000000001,0.7777777777777778,70.13,56,18,4.4
1_4,90.25738536155202,0.6275862068965518,68.03,91,29,4.3
1_7,41.11294765840221,0.8,83.96,32,13,4.3
1_4,64.78365384615384,0.6623376623376623,70.77,51,25,3.9
1_6,44.08579130124057,0.5,63.43,88,25,4.1
1_6,33.623548484656666,0.49714285714285716,69.01,87,19,4.1
1_4,76.664,0.7297297297297297,73.58,54,14,4.6
1_6,36.593846945894676,0.5403726708074534,56.32,87,32,4.5
1_7,53.81600000000002,0.8387096774193549,34.6,26,31,4.7
1_5,63.44827586206897,0.5163043478260869,65.66,95,23,4.4
1_4,46.59708121827411,0.6263736263736264,83.96,57,13,3.9
1_5,70.22195650769402,0.6423357664233577,77.57,88,19,4.0
1_9,78.86666666666669,0.7692307692307693,8.55,50,65,4.6
1_8,68.41444444444446,0.7313432835820896,81.12,49,16,4.0
1_8,36.18819188191882,0.6904761904761905,56.26,29,42,3.7
